t_date,item_code
24.12.2018,ALPHA
24.12.2018,MANDALIN
21.12.2018,E01TA
21.12.2018,RHO
21.12.2018,TELTA
20.12.2018,CAROUSEL
20.12.2018,E01TA
20.12.2018,DELTA
19.12.2018,COLLEZZINE
19.12.2018,BLACK AND WHITE
18.12.2018,ALPHA
18.12.2018,IOTA
18.12.2018,BEITA
17.12.2018,KOCALAR PETROL
17.12.2018,EPSILON
17.12.2018,EPSILON
17.12.2018,RHO
17.12.2018,GAMMA
17.12.2018,PLUTTON
17.12.2018,KAPPA
17.12.2018,SOLAR
17.12.2018,ALPHA
17.12.2018,COLLEZZINE
17.12.2018,E01TA
17.12.2018,ELITLERUNLU01
17.12.2018,ALPHA
17.12.2018,TELTA
17.12.2018,IOTA
17.12.2018,EPSILON
17.12.2018,DELTA
17.12.2018,RHO
14.12.2018,SOLAR
14.12.2018,IST.ICERENKOY USKUDA
13.12.2018,ALPHA
13.12.2018,BLACK AND WHITE
13.12.2018,COLLEZZINE
12.12.2018,DELTA
12.12.2018,RHO
12.12.2018,TELTA
11.12.2018,TAU
11.12.2018,DOKO GIDA
11.12.2018,DELTA
11.12.2018,RHO
11.12.2018,EPSILON
10.12.2018,BLACK AND WHITE
10.12.2018,COLLEZZINE
10.12.2018,KUZEN BISTRO
10.12.2018,BLACK AND WHITE
10.12.2018,BLACK AND WHITE
10.12.2018,BLACK AND WHITE
07.12.2018,BLACK AND WHITE
06.12.2018,DELTA
06.12.2018,BLACK AND WHITE
06.12.2018,COLLEZZINE
06.12.2018,TELTA
05.12.2018,SOLAR
05.12.2018,BLACK AND WHITE
05.12.2018,E01TA
04.12.2018,RHO
04.12.2018,DELTA
03.12.2018,DOKO GIDA
03.12.2018,RHO
03.12.2018,E01TA
03.12.2018,IOTA
03.12.2018,IOTA
03.12.2018,OMICRON
03.12.2018,KECI BISTRO
03.12.2018,KECI BISTRO
03.12.2018,KUZEY CAFETERIA
30.11.2018,DONERCI ALI EFENDI
30.11.2018,IOTA
30.11.2018,KAPPA
29.11.2018,BLACK AND WHITE
29.11.2018,RHO
29.11.2018,DELTA
29.11.2018,DOKO GIDA
29.11.2018,COLLEZZINE
29.11.2018,OMICRON
28.11.2018,DOKO GIDA
28.11.2018,CAROUSEL
28.11.2018,LEYLA KABATAS
28.11.2018,CAROUSEL
28.11.2018,SOLAR
28.11.2018,SOLAR
27.11.2018,BLACK AND WHITE
27.11.2018,IOTA
27.11.2018,DELTA
27.11.2018,BLACK AND WHITE
27.11.2018,KAPPA
27.11.2018,DUSLERSOKAGI CAFE VE
26.11.2018,RHO
26.11.2018,OMICRON
26.11.2018,ALPHA
26.11.2018,NU1
26.11.2018,E01TA
26.11.2018,FK TESIS ISLETMECILG
26.11.2018,CAROUSEL
26.11.2018,CAROUSEL
26.11.2018,BLACK AND WHITE
